Centre,Role,Name,District,
"Keats College, Harisha Arcade, Chettiyangadi, Thrissur Town",MFA,Thrissur MFA 1,Thrissur,
"Keats College, Harisha Arcade, Chettiyangadi, Thrissur Town",ATP,Thrissur ATP 1,Thrissur,
"G-Tech College, Near Sree Narayana College, Nattika, Thriprayar",ATP,Thrissur ATP 2,Thrissur,
"Panaghad Higher secondry school S.N.Puram,Near kodungallor",ATP,Thrissur ATP 3,Thrissur,
"MercyCollege Guruvayur, Chavakkad",SP,Thrissur SP 1,Thrissur,
"IASE Thrissur Town, Thrissur Town",MFA,Thrissur MFA 2,Thrissur,
Elthuruth,MFA,Thrissur MFA 3,Thrissur,
Malabar College (near bathery old bustand),ATP,Wayanad ATP 1,Wayanad,
Malabar College (near bathery old bustand),ATP,Wayanad ATP 2,Wayanad,
Malabar College (near bathery old bustand),ATP,Wayanad ATP 3,Wayanad,
Malabar College (near bathery old bustand),ATP,Wayanad ATP 4,Wayanad,
Malabar College (near bathery old bustand),MFA,Wayanad MFA 1,Wayanad,
Malabar College (near bathery old bustand),SP,Wayanad SP 1,Wayanad,
Govt College Mananthavady,MFA,Wayanad MFA 2,Wayanad,
"Govt. Sarvajana HSS, Sulthan Bathery",MFA,Wayanad MFA 3,Wayanad,
